Senate
"First Name","Last Name",Party,District,"Year Score","Lifetime Score",URL
Alabama
Katie,Britt,R,,0,2,https://www.lcv.org/moc/katie-britt/
Tommy,Tuberville,R,,0,3,https://www.lcv.org/moc/tommy-tuberville/
Alaska
Lisa,Murkowski,R,,20,20,https://www.lcv.org/moc/lisa-a-murkowski/
Dan,Sullivan,R,,3,8,https://www.lcv.org/moc/dan-sullivan/
Arizona
Ruben,Gallego,D,AZ-03,86,93,https://www.lcv.org/moc/ruben-gallego/
Mark,Kelly,D,,91,93,https://www.lcv.org/moc/mark-kelly/
Arkansas
John,Boozman,R,,3,8,https://www.lcv.org/moc/john-n-boozman/
Tom,Cotton,R,,3,5,https://www.lcv.org/moc/tom-cotton/
California
Alex,Padilla,D,,97,96,https://www.lcv.org/moc/alex-padilla/
Adam,Schiff,D,CA-30,97,98,https://www.lcv.org/moc/adam-b-schiff/
Colorado
Michael,Bennet,D,,94,91,https://www.lcv.org/moc/michael-bennet/
John,Hickenlooper,D,,91,94,https://www.lcv.org/moc/john-hickenlooper/
Connecticut
Richard,Blumenthal,D,,97,98,https://www.lcv.org/moc/richard-blumenthal/
Chris,Murphy,D,,97,97,https://www.lcv.org/moc/chris-s-murphy/
Delaware
Lisa,"Blunt Rochester",D,,97,98,https://www.lcv.org/moc/lisa-blunt-rochester/
Chris,Coons,D,,100,95,https://www.lcv.org/moc/chris-coons/
Florida
Ashley,Moody,R,,0,0,https://www.lcv.org/moc/ashley-moody/
Marco,Rubio,R,,na,7,https://www.lcv.org/moc/marco-rubio/
Rick,Scott,R,,0,3,https://www.lcv.org/moc/rick-scott/
Georgia
Jon,Ossoff,D,,94,96,https://www.lcv.org/moc/jon-ossoff/
Raphael,Warnock,D,,91,96,https://www.lcv.org/moc/raphael-warnock/
Hawaii
Mazie,Hirono,D,,100,96,https://www.lcv.org/moc/mazie-k-hirono/
Brian,Schatz,D,,97,97,https://www.lcv.org/moc/brian-emanuel-schatz/
Idaho
Michael,Crapo,R,,3,7,https://www.lcv.org/moc/michael-d-crapo/
Jim,Risch,R,,3,8,https://www.lcv.org/moc/jim-risch/
Illinois
Tammy,Duckworth,D,,100,94,https://www.lcv.org/moc/tammy-duckworth/
Dick,Durbin,D,,97,90,https://www.lcv.org/moc/dick-durbin/
Indiana
Jim,Banks,R,IN-03,3,1,https://www.lcv.org/moc/jim-banks/
Todd,Young,R,,3,7,https://www.lcv.org/moc/todd-young/
Iowa
Joni,Ernst,R,,0,7,https://www.lcv.org/moc/joni-ernst/
Chuck,Grassley,R,,0,17,https://www.lcv.org/moc/chuck-e-grassley/
Kansas
Roger,Marshall,R,,0,5,https://www.lcv.org/moc/roger-marshall/
Jerry,Moran,R,,0,8,https://www.lcv.org/moc/jerry-moran/
Kentucky
Mitch,McConnell,R,,3,8,https://www.lcv.org/moc/mitch-mcconnell/
Rand,Paul,R,,9,9,https://www.lcv.org/moc/rand-paul/
Louisiana
Bill,Cassidy,R,,0,8,https://www.lcv.org/moc/bill-cassidy/
John,Kennedy,R,,0,5,https://www.lcv.org/moc/john-neely-kennedy/
Maine
Susan,Collins,R,,31,52,https://www.lcv.org/moc/susan-m-collins/
Angus,King,I,,94,92,https://www.lcv.org/moc/angus-king/
Maryland
Angela,Alsobrooks,D,,97,97,https://www.lcv.org/moc/angela-alsobrooks/
Chris,"Van Hollen",D,,100,98,https://www.lcv.org/moc/chris-van-hollen/
Massachusetts
Ed,Markey,D,,100,95,https://www.lcv.org/moc/ed-markey/
Elizabeth,Warren,D,,97,96,https://www.lcv.org/moc/elizabeth-warren/
Michigan
Gary,Peters,D,,100,95,https://www.lcv.org/moc/gary-c-peters/
Elissa,Slotkin,D,MI-07,94,96,https://www.lcv.org/moc/elissa-slotkin/
Minnesota
Amy,Klobuchar,D,,94,93,https://www.lcv.org/moc/amy-klobuchar/
Tina,Smith,D,,94,97,https://www.lcv.org/moc/tina-smith-7/
Mississippi
Cindy,Hyde-Smith,R,,0,10,https://www.lcv.org/moc/cindy-hyde-smith/
Roger,Wicker,R,,0,7,https://www.lcv.org/moc/roger-f-wicker/
Missouri
Joshua,Hawley,R,,6,4,https://www.lcv.org/moc/joshua-hawley/
Eric,Schmitt,R,,3,2,https://www.lcv.org/moc/eric-schmitt/
Montana
Steve,Daines,R,,6,8,https://www.lcv.org/moc/steve-daines/
Tim,Sheehy,R,,6,6,https://www.lcv.org/moc/tim-sheehy/
Nebraska
Deb,Fischer,R,,3,7,https://www.lcv.org/moc/deb-fischer/
Pete,Ricketts,R,,3,2,https://www.lcv.org/moc/pete-ricketts/
Nevada
Catherine,"Cortez Masto",D,,94,96,https://www.lcv.org/moc/catherine-cortez-masto/
Jacky,Rosen,D,,94,96,https://www.lcv.org/moc/jacky-rosen/
"New Hampshire"
Margaret,Hassan,D,,94,97,https://www.lcv.org/moc/margaret-wood-hassan/
Jeanne,Shaheen,D,,91,95,https://www.lcv.org/moc/jeanne-shaheen/
"New Jersey"
Cory,Booker,D,,94,95,https://www.lcv.org/moc/cory-anthony-booker/
Andy,Kim,D,NJ-03,100,99,https://www.lcv.org/moc/andy-kim/
"New Mexico"
Martin,Heinrich,D,,94,94,https://www.lcv.org/moc/martin-t-heinrich/
"Ben Ray",Luján,D,,94,97,https://www.lcv.org/moc/ben-ray-lujan/
"New York"
Kirsten,Gillibrand,D,,94,96,https://www.lcv.org/moc/kirsten-e-gillibrand/
Chuck,Schumer,D,,100,93,https://www.lcv.org/moc/chuck-schumer/
"North Carolina"
Ted,Budd,R,,3,4,https://www.lcv.org/moc/ted-budd/
Thom,Tillis,R,,9,11,https://www.lcv.org/moc/thom-tillis/
"North Dakota"
Kevin,Cramer,R,,0,5,https://www.lcv.org/moc/kevin-cramer/
John,Hoeven,R,,0,8,https://www.lcv.org/moc/john-hoeven/
Ohio
Jon,Husted,R,,3,3,https://www.lcv.org/moc/jon-husted/
Bernie,Moreno,R,,3,3,https://www.lcv.org/moc/bernie-moreno/
J.D.,Vance,R,,na,0,https://www.lcv.org/moc/j-d-vance/
Oklahoma
James,Lankford,R,,0,5,https://www.lcv.org/moc/james-lankford/
Markwayne,Mullin,R,,3,2,https://www.lcv.org/moc/markwayne-mullin/
Oregon
Jeff,Merkley,D,,97,99,https://www.lcv.org/moc/jeff-merkley/
Ron,Wyden,D,,100,92,https://www.lcv.org/moc/ron-wyden/
Pennsylvania
John,Fetterman,D,,80,84,https://www.lcv.org/moc/john-fetterman/
David,McCormick,R,,0,0,https://www.lcv.org/moc/david-mccormick/
"Rhode Island"
Jack,Reed,D,,100,97,https://www.lcv.org/moc/jack-reed/
Sheldon,Whitehouse,D,,94,97,https://www.lcv.org/moc/sheldon-whitehouse/
"South Carolina"
Lindsey,Graham,R,,3,14,https://www.lcv.org/moc/lindsey-o-graham/
Tim,Scott,R,,0,5,https://www.lcv.org/moc/tim-scott/
"South Dakota"
Mike,Rounds,R,,3,8,https://www.lcv.org/moc/mike-rounds/
John,Thune,R,,3,10,https://www.lcv.org/moc/john-r-thune/
Tennessee
Marsha,Blackburn,R,,0,3,https://www.lcv.org/moc/marsha-blackburn/
Bill,Hagerty,R,,0,4,https://www.lcv.org/moc/bill-hagerty/
Texas
John,Cornyn,R,,3,6,https://www.lcv.org/moc/john-cornyn/
Ted,Cruz,R,,0,3,https://www.lcv.org/moc/ted-cruz/
Utah
John,Curtis,R,UT-03,3,6,https://www.lcv.org/moc/john-curtis/
Mike,Lee,R,,3,7,https://www.lcv.org/moc/mike-lee/
Vermont
Bernie,Sanders,I,,94,92,https://www.lcv.org/moc/bernie-sanders/
Peter,Welch,D,,97,95,https://www.lcv.org/moc/peter-f-welch/
Virginia
Timothy,Kaine,D,,97,97,https://www.lcv.org/moc/timothy-kaine/
Mark,Warner,D,,97,92,https://www.lcv.org/moc/mark-r-warner/
Washington
Maria,Cantwell,D,WA-01,97,94,https://www.lcv.org/moc/maria-cantwell/
Patty,Murray,D,,100,93,https://www.lcv.org/moc/patty-murray/
"West Virginia"
"Shelley Moore",Capito,R,,3,16,https://www.lcv.org/moc/shelley-moore-capito/
James,Justice,R,,3,3,https://www.lcv.org/moc/james-c-justice/
Wisconsin
Tammy,Baldwin,D,,97,97,https://www.lcv.org/moc/tammy-baldwin/
Ron,Johnson,R,,0,5,https://www.lcv.org/moc/ron-johnson/
Wyoming
John,Barrasso,R,,3,6,https://www.lcv.org/moc/john-barrasso/
Cynthia,Lummis,R,,3,5,https://www.lcv.org/moc/cynthia-m-lummis/

House
"First Name","Last Name",Party,District,"Year Score","Lifetime Score",URL
Alabama
Barry,Moore,R,AL-01,0,1,https://www.lcv.org/moc/barry-moore/
Shomari,Figures,D,AL-02,94,94,https://www.lcv.org/moc/shomari-figures/
Mike,Rogers,R,AL-03,0,5,https://www.lcv.org/moc/mike-d-rogers/
Robert,Aderholt,R,AL-04,0,3,https://www.lcv.org/moc/robert-b-aderholt/
Dale,Strong,R,AL-05,0,0,https://www.lcv.org/moc/dale-strong/
Gary,Palmer,R,AL-06,0,1,https://www.lcv.org/moc/gary-palmer/
Terri,Sewell,D,AL-07,91,85,https://www.lcv.org/moc/terri-sewell/
Alaska
Nicholas,Begich,R,AL,0,0,https://www.lcv.org/moc/nicholas-j-begich/
"American Samoa"
Amata,Radewagen,R,AL,0,7,https://www.lcv.org/moc/amata-coleman-radewagen/
Arizona
David,Schweikert,R,AZ-01,0,5,https://www.lcv.org/moc/david-schweikert/
Eli,Crane,R,AZ-02,0,1,https://www.lcv.org/moc/eli-crane/
Yassamin,Ansari,D,AZ-03,100,100,https://www.lcv.org/moc/yassamin-ansari/
Greg,Stanton,D,AZ-04,97,97,https://www.lcv.org/moc/greg-stanton/
Andy,Biggs,R,AZ-05,0,3,https://www.lcv.org/moc/andy-biggs/
Juan,Ciscomani,R,AZ-06,0,7,https://www.lcv.org/moc/juan-ciscomani/
Raul,Grijalva,D,AZ-07,na,97,https://www.lcv.org/moc/raul-grijalva/
Adelita,Grijalva,D,AZ-07,100,100,https://www.lcv.org/moc/adelita-grijalva/
Abraham,Hamadeh,R,AZ-08,0,0,https://www.lcv.org/moc/abraham-j-hamadeh/
Paul,Gosar,R,AZ-09,0,3,https://www.lcv.org/moc/paul-gosar/
Arkansas
Rick,Crawford,R,AR-01,0,4,https://www.lcv.org/moc/rick-crawford/
French,Hill,R,AR-02,0,7,https://www.lcv.org/moc/french-hill/
Steve,Womack,R,AR-03,0,5,https://www.lcv.org/moc/steve-womack/
Bruce,Westerman,R,AR-04,0,3,https://www.lcv.org/moc/bruce-westerman/
California
Doug,LaMalfa,R,CA-01,0,2,https://www.lcv.org/moc/doug-lamalfa/
Jared,Huffman,D,CA-02,100,98,https://www.lcv.org/moc/jared-huffman/
Kevin,Kiley,R,CA-03,0,9,https://www.lcv.org/moc/kevin-kiley/
Mike,Thompson,D,CA-04,97,94,https://www.lcv.org/moc/mike-thompson/
Tom,McClintock,R,CA-05,3,3,https://www.lcv.org/moc/tom-mcclintock/
Ami,Bera,D,CA-06,97,95,https://www.lcv.org/moc/ami-bera/
Doris,Matsui,D,CA-07,97,97,https://www.lcv.org/moc/doris-o-matsui/
John,Garamendi,D,CA-08,100,92,https://www.lcv.org/moc/john-garamendi/
Josh,Harder,D,CA-09,97,97,https://www.lcv.org/moc/josh-harder/
Mark,DeSaulnier,D,CA-10,100,100,https://www.lcv.org/moc/mark-desaulnier/
Nancy,Pelosi,D,CA-11,100,94,https://www.lcv.org/moc/nancy-pelosi/
Lateefah,Simon,D,CA-12,100,100,https://www.lcv.org/moc/lateefah-simon/
Adam,Gray,D,CA-13,61,61,https://www.lcv.org/moc/adam-gray/
Eric,Swalwell,D,CA-14,48,90,https://www.lcv.org/moc/eric-swalwell/
Kevin,Mullin,D,CA-15,97,98,https://www.lcv.org/moc/kevin-mullin/
Sam,Liccardo,D,CA-16,94,94,https://www.lcv.org/moc/sam-t-liccardo/
Ro,Khanna,D,CA-17,100,99,https://www.lcv.org/moc/ro-khanna/
Zoe,Lofgren,D,CA-18,97,93,https://www.lcv.org/moc/zoe-lofgren/
Jimmy,Panetta,D,CA-19,97,96,https://www.lcv.org/moc/jimmy-panetta/
Vince,Fong,R,CA-20,0,4,https://www.lcv.org/moc/vince-fong/
Jim,Costa,D,CA-21,67,62,https://www.lcv.org/moc/jim-costa/
David,Valadao,R,CA-22,12,9,https://www.lcv.org/moc/david-g-valadao/
Jay,Obernolte,R,CA-23,3,6,https://www.lcv.org/moc/jay-obernolte/
Salud,Carbajal,D,CA-24,97,96,https://www.lcv.org/moc/salud-carbajal/
Raul,Ruiz,D,CA-25,91,95,https://www.lcv.org/moc/raul-ruiz/
Julia,Brownley,D,CA-26,100,97,https://www.lcv.org/moc/julia-brownley/
George,Whitesides,D,CA-27,97,97,https://www.lcv.org/moc/george-whitesides/
Judy,Chu,D,CA-28,97,98,https://www.lcv.org/moc/judy-m-chu/
Luz,Rivas,D,CA-29,100,100,https://www.lcv.org/moc/luz-m-rivas/
Laura,Friedman,D,CA-30,97,97,https://www.lcv.org/moc/laura-friedman/
Gilbert,Cisneros,D,CA-31,100,99,https://www.lcv.org/moc/gilbert-cisneros/
Brad,Sherman,D,CA-32,97,98,https://www.lcv.org/moc/brad-j-sherman/
Pete,Aguilar,D,CA-33,97,96,https://www.lcv.org/moc/pete-aguilar/
Jimmy,Gomez,D,CA-34,91,97,https://www.lcv.org/moc/jimmy-gomez/
Norma,Torres,D,CA-35,97,96,https://www.lcv.org/moc/norma-torres/
Ted,Lieu,D,CA-36,97,94,https://www.lcv.org/moc/ted-lieu/
Sydney,Kamlager-Dove,D,CA-37,97,99,https://www.lcv.org/moc/sydney-kamlager-dove/
Linda,Sanchez,D,CA-38,100,95,https://www.lcv.org/moc/linda-sanchez/
Mark,Takano,D,CA-39,100,99,https://www.lcv.org/moc/mark-takano/
Young,Kim,R,CA-40,3,13,https://www.lcv.org/moc/young-kim/
Ken,Calvert,R,CA-41,3,7,https://www.lcv.org/moc/ken-s-calvert/
Robert,Garcia,D,CA-42,100,98,https://www.lcv.org/moc/robert-garcia-2/
Maxine,Waters,D,CA-43,88,92,https://www.lcv.org/moc/maxine-waters/
Nanette,Barragán,D,CA-44,97,98,https://www.lcv.org/moc/nanette-barragan/
Derek,Tran,D,CA-45,97,97,https://www.lcv.org/moc/derek-tran/
J.,Correa,D,CA-46,82,92,https://www.lcv.org/moc/j-correa/
Dave,Min,D,CA-47,100,100,https://www.lcv.org/moc/dave-min/
Darrell,Issa,R,CA-48,0,4,https://www.lcv.org/moc/darrell-issa/
Mike,Levin,D,CA-49,97,99,https://www.lcv.org/moc/mike-levin/
Scott,Peters,D,CA-50,91,94,https://www.lcv.org/moc/scott-h-peters/
Sara,Jacobs,D,CA-51,100,99,https://www.lcv.org/moc/sara-jacobs/
Juan,Vargas,D,CA-52,100,97,https://www.lcv.org/moc/juan-vargas/
Colorado
Diana,DeGette,D,CO-01,100,97,https://www.lcv.org/moc/diana-l-degette/
Joe,Neguse,D,CO-02,100,99,https://www.lcv.org/moc/joe-neguse/
Jeff,Hurd,R,CO-03,3,3,https://www.lcv.org/moc/jeff-hurd/
Lauren,Boebert,R,CO-04,0,0,https://www.lcv.org/moc/lauren-boebert/
Jeff,Crank,R,CO-05,0,0,https://www.lcv.org/moc/jeff-crank/
Jason,Crow,D,CO-06,100,99,https://www.lcv.org/moc/jason-crow/
Brittany,Pettersen,D,CO-07,100,97,https://www.lcv.org/moc/brittany-pettersen/
Gabe,Evans,R,CO-08,6,6,https://www.lcv.org/moc/gabe-evans/
Connecticut
John,Larson,D,CT-01,97,94,https://www.lcv.org/moc/john-b-larson/
Joe,Courtney,D,CT-02,100,97,https://www.lcv.org/moc/joe-courtney/
Rosa,DeLauro,D,CT-03,100,96,https://www.lcv.org/moc/rosa-l-delauro/
Jim,Himes,D,CT-04,97,96,https://www.lcv.org/moc/jim-himes/
Jahana,Hayes,D,CT-05,100,98,https://www.lcv.org/moc/jahana-hayes/
Delaware
Sarah,McBride,D,AL,100,100,https://www.lcv.org/moc/sarah-mcbride/
"District of Columbia"
Eleanor,Norton,D,AL,100,100,https://www.lcv.org/moc/eleanor-holmes-norton/
Florida
Jimmy,Patronis,R,FL-01,0,0,https://www.lcv.org/moc/jimmy-patronis/
Neal,Dunn,R,FL-02,0,3,https://www.lcv.org/moc/neal-dunn/
Kat,Cammack,R,FL-03,0,1,https://www.lcv.org/moc/kat-cammack/
Aaron,Bean,R,FL-04,0,1,https://www.lcv.org/moc/aaron-bean/
John,Rutherford,R,FL-05,0,5,https://www.lcv.org/moc/john-rutherford/
Randy,Fine,R,FL-06,4,4,https://www.lcv.org/moc/randy-fine/
Michael,Waltz,R,FL-06,na,12,https://www.lcv.org/moc/michael-waltz/
Cory,Mills,R,FL-07,0,0,https://www.lcv.org/moc/cory-mills/
Mike,Haridopolos,R,FL-08,3,3,https://www.lcv.org/moc/mike-haridopolos/
Darren,Soto,D,FL-09,97,98,https://www.lcv.org/moc/darren-soto/
Maxwell,Frost,D,FL-10,100,100,https://www.lcv.org/moc/maxwell-frost/
Daniel,Webster,R,FL-11,0,5,https://www.lcv.org/moc/daniel-webster/
Gus,Bilirakis,R,FL-12,0,8,https://www.lcv.org/moc/gus-bilirakis/
"Anna Paulina",Luna,R,FL-13,0,0,https://www.lcv.org/moc/anna-paulina-luna/
Kathy,Castor,D,FL-14,100,95,https://www.lcv.org/moc/kathy-castor/
Laurel,Lee,R,FL-15,3,4,https://www.lcv.org/moc/laurel-lee/
Vern,Buchanan,R,FL-16,3,18,https://www.lcv.org/moc/vern-buchanan/
Greg,Steube,R,FL-17,0,1,https://www.lcv.org/moc/greg-steube/
Scott,Franklin,R,FL-18,0,1,https://www.lcv.org/moc/scott-franklin/
Byron,Donalds,R,FL-19,0,1,https://www.lcv.org/moc/byron-donalds/
Sheila,Cherfilus-McCormick,D,FL-20,100,98,https://www.lcv.org/moc/sheila-cherfilus-mccormick/
Brian,Mast,R,FL-21,0,16,https://www.lcv.org/moc/brian-mast/
Lois,Frankel,D,FL-22,100,98,https://www.lcv.org/moc/lois-frankel/
Jared,Moskowitz,D,FL-23,88,92,https://www.lcv.org/moc/jared-moskowitz/
Frederica,Wilson,D,FL-24,97,94,https://www.lcv.org/moc/frederica-wilson/
Debbie,"Wasserman Schultz",D,FL-25,100,94,https://www.lcv.org/moc/debbie-wasserman-schultz/
Mario,Díaz-Balart,R,FL-26,0,12,https://www.lcv.org/moc/mario-diaz-balart/
